Bus Stop  , 5 , 09/23/2019 18:11:08
Busy Road  , 5 , 09/23/2019 18:11:10
Bus Stop  , 5 , 09/23/2019 18:11:42
Bus Stop  , 5 , 09/23/2019 18:14:09
Bus Stop  , 5 , 09/23/2019 18:15:17
Bus Stop  , 5 , 09/23/2019 18:19:27
Busy Road  , 1 , 09/23/2019 18:21:47
Bus Stop  , 5 , 09/23/2019 18:24:12
Bus Stop  , 5 , 09/23/2019 18:25:53
Bus Stop  , 5 , 09/23/2019 18:27:36
Signal  , 1 , 09/23/2019 18:28:37
Bus Stop  , 5 , 09/23/2019 18:29:36
Bus Stop  , 5 , 09/23/2019 18:31:07
Busy Road  , 5 , 09/23/2019 18:31:29
Signal  , 1 , 09/23/2019 18:32:19
Bus Stop  , 5 , 09/23/2019 18:32:39
Bus Stop Bus Stop  , 1 , 09/23/2019 18:36:09
Bus Stop  , 5 , 09/23/2019 18:36:54
Bus Stop  , 5 , 09/23/2019 18:38:13
Bus Stop  , 5 , 09/23/2019 18:39:06
Bus Stop  , 5 , 09/23/2019 18:39:39
Busy Road  , 1 , 09/23/2019 18:41:27
Bus Stop  , 5 , 09/23/2019 18:41:49
Bus Stop  , 1 , 09/23/2019 18:42:16
Bus Stop  , 1 , 09/23/2019 18:42:54
Bus Stop  , 5 , 09/23/2019 18:43:27
Busy Road  , 5 , 09/23/2019 18:45:31
Bus Stop  , 5 , 09/23/2019 18:45:40
