120,09/23/2019,18:07:21,47.136215266547325
121,09/23/2019,18:07:22,44.42100204437618
122,09/23/2019,18:07:23,50.77693570284941
123,09/23/2019,18:07:24,46.88866705603898
124,09/23/2019,18:07:25,50.88786889051177
125,09/23/2019,18:07:26,47.15849513990714
126,09/23/2019,18:07:27,45.92256826950774
127,09/23/2019,18:07:28,49.10050067438937
128,09/23/2019,18:07:29,45.44425039328462
129,09/23/2019,18:07:30,57.68263460875671
130,09/23/2019,18:07:31,55.95684757389049
131,09/23/2019,18:07:32,54.81414362250075
132,09/23/2019,18:07:33,52.5029860220934
133,09/23/2019,18:07:34,53.35185666492534
134,09/23/2019,18:07:35,52.067965322179354
135,09/23/2019,18:07:36,44.89799970867296
136,09/23/2019,18:07:37,45.76048516468687
137,09/23/2019,18:07:38,47.40553200879178
138,09/23/2019,18:07:39,48.73628459070466
139,09/23/2019,18:07:40,47.127258387053004
140,09/23/2019,18:07:41,61.21563730783257
141,09/23/2019,18:07:42,60.79976558745207
142,09/23/2019,18:07:43,67.8880398801042
143,09/23/2019,18:07:44,44.26657400406394
144,09/23/2019,18:07:45,49.46129345418568
145,09/23/2019,18:07:46,54.60876514961113
146,09/23/2019,18:07:47,54.21046656213689
147,09/23/2019,18:07:48,58.69593467114426
148,09/23/2019,18:07:49,53.15234732297765
149,09/23/2019,18:07:50,61.14292694134854
150,09/23/2019,18:07:51,44.31722446922224
151,09/23/2019,18:07:52,47.5888100997016
152,09/23/2019,18:07:53,50.88080274853654
153,09/23/2019,18:07:54,48.56593989229132
154,09/23/2019,18:07:55,44.71488724460892
155,09/23/2019,18:07:56,49.3558933306384
156,09/23/2019,18:07:57,52.68715911653814
157,09/23/2019,18:07:58,48.736315230280226
158,09/23/2019,18:07:59,45.60585658646722
159,09/23/2019,18:08:00,45.12357002944739
160,09/23/2019,18:08:01,46.71611105468014
161,09/23/2019,18:08:02,51.12470523369231
162,09/23/2019,18:08:03,50.60438013358262
163,09/23/2019,18:08:04,52.090703377411444
164,09/23/2019,18:08:05,47.71663311836008
165,09/23/2019,18:08:06,48.32308657479961
166,09/23/2019,18:08:07,64.42974945029347
167,09/23/2019,18:08:08,50.853161734591076
168,09/23/2019,18:08:09,45.060621130045384
169,09/23/2019,18:08:10,44.062351431463874
170,09/23/2019,18:08:11,47.9457891315031
171,09/23/2019,18:08:12,45.208688530183885
172,09/23/2019,18:08:13,57.32004037536288
173,09/23/2019,18:08:14,61.35043171229842
174,09/23/2019,18:08:15,52.85338572158763
175,09/23/2019,18:08:16,64.68537482984411
176,09/23/2019,18:08:17,68.02729159128818
177,09/23/2019,18:08:18,62.15005233407484
178,09/23/2019,18:08:19,53.63099267238904
179,09/23/2019,18:08:20,63.99212017731293
180,09/23/2019,18:08:21,67.52464691131458
181,09/23/2019,18:08:22,53.605756224231776
182,09/23/2019,18:08:23,55.832897183235616
183,09/23/2019,18:08:24,52.766723038073216
184,09/23/2019,18:08:25,50.97997776523164
185,09/23/2019,18:08:26,60.054770088301176
186,09/23/2019,18:08:27,58.23877565090653
187,09/23/2019,18:08:28,58.24615468063357
188,09/23/2019,18:08:29,61.68040695257528
189,09/23/2019,18:08:30,55.32591289673731
190,09/23/2019,18:08:31,54.915408324774894
