,0,1,2,3
74,50:8f:4c:99:3d:4d,ashis,-91,09/23/2019 18:05:35
75,70:df:2f:b0:47:40,RailWire Wi-Fi,-77,09/23/2019 18:05:35
76,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-93,09/23/2019 18:05:35
77,bc:2f:3d:cf:32:4b,Juneka,-91,09/23/2019 18:05:35
78,64:d1:54:2d:d3:35,Haldiya Steels,-86,09/23/2019 18:05:37
79,90:f0:52:76:03:6f,meizu C9,-88,09/23/2019 18:05:37
80,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-86,09/23/2019 18:05:37
81,58:d5:6e:6d:98:10,N Pal lottery,-70,09/23/2019 18:05:37
82,10:62:eb:28:db:f9,SBSTC BUS STAND,-85,09/23/2019 18:05:37
83,70:4f:57:6e:b7:3d,TP-Link_B73D,-76,09/23/2019 18:05:37
84,64:db:43:33:57:a4,Lenovo VIBE K5,-85,09/23/2019 18:05:37
85,a0:47:d7:22:0f:c0,SAHA INFOTECH,-91,09/23/2019 18:05:37
86,50:8f:4c:99:3d:4d,ashis,-92,09/23/2019 18:05:37
87,70:df:2f:b0:47:40,RailWire Wi-Fi,-77,09/23/2019 18:05:37
88,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-93,09/23/2019 18:05:37
89,bc:2f:3d:cf:32:4b,Juneka,-91,09/23/2019 18:05:37
90,64:d1:54:2d:d3:35,Haldiya Steels,-86,09/23/2019 18:05:38
91,90:f0:52:76:03:6f,meizu C9,-88,09/23/2019 18:05:38
92,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-86,09/23/2019 18:05:38
93,58:d5:6e:6d:98:10,N Pal lottery,-72,09/23/2019 18:05:38
94,10:62:eb:28:db:f9,SBSTC BUS STAND,-83,09/23/2019 18:05:38
95,64:db:43:33:57:a4,Lenovo VIBE K5,-88,09/23/2019 18:05:38
96,50:8f:4c:99:3d:4d,ashis,-92,09/23/2019 18:05:38
97,70:df:2f:b0:47:40,RailWire Wi-Fi,-77,09/23/2019 18:05:38
98,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-93,09/23/2019 18:05:38
99,bc:2f:3d:cf:32:4b,Juneka,-91,09/23/2019 18:05:38
100,64:d1:54:2d:d3:35,Haldiya Steels,-81,09/23/2019 18:05:41
101,90:f0:52:76:03:6f,meizu C9,-92,09/23/2019 18:05:41
102,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-87,09/23/2019 18:05:41
103,58:d5:6e:6d:98:10,N Pal lottery,-76,09/23/2019 18:05:41
104,10:62:eb:28:db:f9,SBSTC BUS STAND,-81,09/23/2019 18:05:41
105,64:db:43:33:57:a4,Lenovo VIBE K5,-86,09/23/2019 18:05:41
106,50:8f:4c:99:3d:4d,ashis,-92,09/23/2019 18:05:41
107,70:df:2f:b0:47:40,RailWire Wi-Fi,-81,09/23/2019 18:05:41
108,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-93,09/23/2019 18:05:41
109,bc:2f:3d:cf:32:4b,Juneka,-90,09/23/2019 18:05:41
110,64:d1:54:2d:d3:35,Haldiya Steels,-80,09/23/2019 18:05:42
111,90:f0:52:76:03:6f,meizu C9,-91,09/23/2019 18:05:42
112,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-86,09/23/2019 18:05:42
113,58:d5:6e:6d:98:10,N Pal lottery,-76,09/23/2019 18:05:42
114,10:62:eb:28:db:f9,SBSTC BUS STAND,-82,09/23/2019 18:05:42
115,64:db:43:33:57:a4,Lenovo VIBE K5,-83,09/23/2019 18:05:42
116,50:8f:4c:99:3d:4d,ashis,-90,09/23/2019 18:05:42
117,70:df:2f:b0:47:40,RailWire Wi-Fi,-81,09/23/2019 18:05:42
118,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-93,09/23/2019 18:05:42
119,bc:2f:3d:cf:32:4b,Juneka,-90,09/23/2019 18:05:42
120,64:d1:54:2d:d3:35,Haldiya Steels,-80,09/23/2019 18:05:43
121,90:f0:52:76:03:6f,meizu C9,-87,09/23/2019 18:05:43
122,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-86,09/23/2019 18:05:43
123,58:d5:6e:6d:98:10,N Pal lottery,-76,09/23/2019 18:05:43
124,10:62:eb:28:db:f9,SBSTC BUS STAND,-79,09/23/2019 18:05:43
125,64:db:43:33:57:a4,Lenovo VIBE K5,-84,09/23/2019 18:05:43
126,50:8f:4c:99:3d:4d,ashis,-90,09/23/2019 18:05:43
127,70:df:2f:b0:47:40,RailWire Wi-Fi,-81,09/23/2019 18:05:43
128,70:4f:57:6e:b7:3f,TP-Link_B73D_5G,-93,09/23/2019 18:05:43
129,bc:2f:3d:cf:32:4b,Juneka,-90,09/23/2019 18:05:43
130,64:d1:54:2d:d3:35,Haldiya Steels,-80,09/23/2019 18:05:44
131,90:f0:52:76:03:6f,meizu C9,-87,09/23/2019 18:05:44
132,64:d1:54:97:e7:ef,RAILWIRE 2 DGR West,-86,09/23/2019 18:05:44
133,58:d5:6e:6d:98:10,N Pal lottery,-76,09/23/2019 18:05:44
134,10:62:eb:28:db:f9,SBSTC BUS STAND,-79,09/23/2019 18:05:44
135,64:db:43:33:57:a4,Lenovo VIBE K5,-84,09/23/2019 18:05:44
136,50:8f:4c:99:3d:4d,ashis,-90,09/23/2019 18:05:44
137,70:df:2f:b0:47:40,RailWire Wi-Fi,-81,09/23/2019 18:05:44
