#x,time
1.0,09/23/2019 18:05:20,
0.0,09/23/2019 18:05:20,
1.0,09/23/2019 18:05:25,
0.0,09/23/2019 18:05:27,
1.0,09/23/2019 18:07:11,
0.0,09/23/2019 18:07:19,
1.0,09/23/2019 18:07:21,
0.0,09/23/2019 18:07:33,
1.0,09/23/2019 18:07:35,
0.0,09/23/2019 18:07:37,
1.0,09/23/2019 18:09:34,
0.0,09/23/2019 18:09:37,
1.0,09/23/2019 18:09:43,
2.0,09/23/2019 18:09:44,
1.0,09/23/2019 18:09:45,
0.0,09/23/2019 18:09:46,
1.0,09/23/2019 18:09:48,
0.0,09/23/2019 18:09:50,
1.0,09/23/2019 18:11:39,
0.0,09/23/2019 18:11:39,
1.0,09/23/2019 18:11:42,
0.0,09/23/2019 18:11:43,
1.0,09/23/2019 18:11:44,
0.0,09/23/2019 18:11:45,
1.0,09/23/2019 18:11:57,
0.0,09/23/2019 18:12:01,
1.0,09/23/2019 18:12:04,
0.0,09/23/2019 18:12:04,
1.0,09/23/2019 18:13:51,
0.0,09/23/2019 18:13:53,
1.0,09/23/2019 18:13:53,
0.0,09/23/2019 18:14:00,
1.0,09/23/2019 18:15:05,
0.0,09/23/2019 18:15:06,
1.0,09/23/2019 18:15:10,
0.0,09/23/2019 18:15:10,
1.0,09/23/2019 18:15:12,
0.0,09/23/2019 18:15:15,
1.0,09/23/2019 18:16:44,
0.0,09/23/2019 18:16:46,
1.0,09/23/2019 18:18:21,
2.0,09/23/2019 18:18:22,
3.0,09/23/2019 18:18:25,
2.0,09/23/2019 18:18:27,
1.0,09/23/2019 18:18:27,
2.0,09/23/2019 18:18:29,
1.0,09/23/2019 18:18:30,
0.0,09/23/2019 18:18:31,
1.0,09/23/2019 18:19:13,
0.0,09/23/2019 18:19:16,
1.0,09/23/2019 18:19:20,
2.0,09/23/2019 18:19:22,
3.0,09/23/2019 18:19:23,
2.0,09/23/2019 18:19:25,
1.0,09/23/2019 18:19:26,
0.0,09/23/2019 18:19:27,
1.0,09/23/2019 18:19:28,
0.0,09/23/2019 18:19:28,
1.0,09/23/2019 18:19:29,
2.0,09/23/2019 18:19:30,
1.0,09/23/2019 18:19:30,
0.0,09/23/2019 18:19:31,
2.0,09/23/2019 18:20:40,
3.0,09/23/2019 18:20:40,
5.0,09/23/2019 18:20:40,
6.0,09/23/2019 18:20:40,
8.0,09/23/2019 18:20:41,
9.0,09/23/2019 18:20:41,
10.0,09/23/2019 18:20:41,
11.0,09/23/2019 18:20:41,
13.0,09/23/2019 18:20:41,
12.0,09/23/2019 18:20:44,
11.0,09/23/2019 18:20:45,
10.0,09/23/2019 18:20:48,
9.0,09/23/2019 18:20:48,
8.0,09/23/2019 18:20:48,
7.0,09/23/2019 18:20:48,
6.0,09/23/2019 18:20:48,
4.0,09/23/2019 18:20:48,
3.0,09/23/2019 18:20:49,
2.0,09/23/2019 18:20:49,
1.0,09/23/2019 18:20:49,
0.0,09/23/2019 18:20:49,
